,num_observations,rel_error,seed,signal_dimension,sparsity
494,30,0.28861965604568973,0,100,12
495,32,0.19103156391634613,0,100,12
496,35,0.11822718075938235,0,100,12
497,38,0.121895086604387,0,100,12
498,41,0.12351555227321616,0,100,12
499,45,0.1178484644541975,0,100,12
500,48,0.12549792492435247,0,100,12
501,52,0.10293669921833219,0,100,12
502,57,0.11031998207437019,0,100,12
503,62,0.11513991481064245,0,100,12
504,67,0.12028766575594975,0,100,12
505,72,0.11690606145319983,0,100,12
506,78,0.118356322826009,0,100,12
507,85,0.11927118342126106,0,100,12
508,92,0.11047474539733823,0,100,12
509,100,0.11041105703769716,0,100,12
510,10,1.2311051501624712,0,100,14
511,10,1.2311051501624712,0,100,14
512,11,1.1740100345857525,0,100,14
513,12,1.1559350179616998,0,100,14
514,13,1.1159992849239648,0,100,14
515,14,1.1354697694124622,0,100,14
516,16,0.9286530503941224,0,100,14
517,17,0.8932293779331889,0,100,14
518,18,1.0094942678487266,0,100,14
519,20,0.967796015689023,0,100,14
520,22,0.7849435965295946,0,100,14
521,23,0.7896808008776381,0,100,14
522,25,0.8407269644286801,0,100,14
523,28,0.7909711460546087,0,100,14
524,30,0.765900142917587,0,100,14
525,32,0.7223546470241394,0,100,14
526,35,0.19618126470015823,0,100,14
527,38,0.20691394826714718,0,100,14
528,41,0.1846784521120317,0,100,14
529,45,0.17909128750402217,0,100,14
530,48,0.17186486505888388,0,100,14
531,52,0.13757045116942257,0,100,14
532,57,0.14012594304461046,0,100,14
533,62,0.1457843184616993,0,100,14
534,67,0.148217247564133,0,100,14
535,72,0.14083070357718952,0,100,14
536,78,0.1461207504286354,0,100,14
537,85,0.15128347732983843,0,100,14
538,92,0.14752587929017794,0,100,14
539,100,0.1442876822131476,0,100,14
540,10,1.203454262939939,0,100,17
541,10,1.203454262939939,0,100,17
542,11,1.195456120755447,0,100,17
543,12,1.1502353041019087,0,100,17
544,13,1.1139722714462432,0,100,17
545,14,1.0373398718359923,0,100,17
546,16,0.900417064032496,0,100,17
547,17,0.8678036880108556,0,100,17
548,18,0.956668998167767,0,100,17
549,20,0.96266681946632,0,100,17
550,22,0.9307814384033308,0,100,17
551,23,0.9134111780893732,0,100,17
552,25,0.8504462751386076,0,100,17
553,28,0.8594164391632461,0,100,17
554,30,0.8317520590250256,0,100,17
555,32,0.8101189133245312,0,100,17
556,35,0.5569659010480398,0,100,17
557,38,0.5469834667110179,0,100,17
558,41,0.44514026677370994,0,100,17
559,45,0.4484560956595607,0,100,17
560,48,0.32154017578071087,0,100,17
561,52,0.32041134034659735,0,100,17
562,57,0.26903898478623806,0,100,17
563,62,0.26075711861742507,0,100,17
564,67,0.2481485485499246,0,100,17
565,72,0.20761635238016599,0,100,17
566,78,0.21187998760588253,0,100,17
